#gene	newname	num_of_conditions_in	conditions
SORL1.p1	ENSGALT00000081956.2	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
MPDZ.p1	ENSGALT00000092157.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
MYCBP2.p1	ENSGALT00000107232.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
TRIP12.p1	ENSGALT00000004623.6	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
IL11RA.p1	ENSGALT00000057968.2	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
PPP2R5C.p1	ENSGALT00000108074.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
EXOSC8.p1	ENSGALT00000027544.6	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
Diego.p1	ENSGALT00000091573.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
R3HCC1L.p1	ENSGALT00000105440.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
NAV1.p1	ENSGALT00000095619.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
SPRED1.p1	ENSGALT00000102477.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
DCP2.p1	ENSGALT00000000283.7	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
FGD3.p1	ENSGALT00000100503.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
SUCO.p1	ENSGALT00000098043.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
GRIPAP1.p1	ENSGALT00000094307.1	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
LIMS1.p1	ENSGALT00000090376.2	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
